Id,Probability
484,0.21
485,0.0
486,0.72
487,0.06
488,0.11
489,0.03
490,0.01
491,0.02
492,0.02
493,0.83
494,0.0
495,0.39
496,0.03
497,0.0
498,0.01
499,0.08
500,0.49
501,0.02
502,0.27
503,0.01
504,0.01
505,0.0
506,0.22
507,0.01
508,0.0
509,0.0
510,0.13
511,0.01
512,0.2
513,0.14
514,0.06
515,0.0
516,0.47
517,0.0
518,0.01
519,0.0
520,0.0
521,0.02
522,0.0
523,0.06
524,0.02
525,0.1
526,0.49
527,0.27
528,0.0
529,0.23
530,0.01
531,0.0
532,0.0
533,0.01
534,0.0
535,0.08
536,0.0
537,0.08
538,0.0
539,0.07
540,0.0
541,0.14
542,0.03
543,0.26
544,0.07
545,0.06
546,0.04
547,0.04
548,0.0
549,0.0
550,0.24
551,0.35
552,0.04
553,0.03
554,0.0
555,0.2
556,0.01
557,0.01
558,0.12
559,0.26
560,0.01
561,0.0
562,0.0
563,0.16
564,0.04
565,0.26
566,0.0
567,0.01
568,0.0
569,0.54
570,0.16
571,0.24
572,0.0
573,0.04
574,0.28
575,0.25
576,0.0
577,0.43
578,0.0
579,0.15
580,0.0
581,0.0
582,0.05
583,0.0
584,0.02
585,0.06
586,0.0
587,0.04
588,0.06
589,0.02
590,0.08
591,0.08
592,0.01
593,0.0
594,0.01
595,0.53
596,0.31
597,0.0
598,0.17
599,0.0
600,0.0
601,0.0
602,0.02
603,0.0
604,0.02
605,0.16
606,0.0
607,0.02
608,0.04
609,0.69
610,0.0
611,0.0
612,0.0
613,0.0
614,0.06
615,0.17
616,0.06
617,0.64
618,0.0
619,0.16
620,0.0
621,0.0
622,0.23
623,0.26
624,0.0
625,0.15
626,0.58
627,0.3
628,0.0
629,0.0
630,0.53
631,0.0
632,0.18
633,0.0
634,0.04
635,0.13
636,0.0
637,0.0
638,0.03
639,0.1
640,0.0
641,0.0
642,0.66
643,0.29
644,0.89
645,0.17
646,0.39
647,0.08
648,0.12
649,0.01
650,0.0
651,0.49
652,0.0
653,0.4
654,0.09
655,0.01
656,0.01
657,0.09
658,0.02
659,0.37
660,0.31
661,0.06
662,0.22
663,0.46
664,0.4
665,0.57
666,0.0
667,0.12
668,0.26
669,0.6
670,0.04
671,0.0
672,0.39
673,0.09
674,0.0
675,0.7
676,0.31
677,0.04
678,0.05
679,0.0
680,0.19
681,0.01
682,0.0
683,0.02
684,0.0
685,0.02
686,0.0
687,0.0
688,0.06
689,0.57
690,0.07
691,0.02
692,0.64
693,0.02
694,0.03
695,0.05
696,0.01
697,0.0
698,0.17
699,0.51
700,0.12
701,0.0
702,0.35
703,0.1
704,0.9202184138703221
705,0.0
706,0.0
707,0.02
708,0.02
709,0.04
710,0.08
711,0.04
712,0.4
713,0.01
714,0.01
715,0.02
716,0.58
717,0.0
718,0.2
719,0.04
720,0.08
721,0.04
722,0.01
723,0.14
724,0.0
725,0.1
726,0.08
727,0.0
728,0.2
729,0.027692307692307693
730,0.62
731,0.44
732,0.07
733,0.0
734,0.0
735,0.15
736,0.07
737,0.02
738,0.17
739,0.17
740,0.0
741,0.0
742,0.0
743,0.08
744,0.15
745,0.01
746,0.01
747,0.0
748,0.05
749,0.29
750,0.33
751,0.31
752,0.0
753,0.0
754,0.0
755,0.04
756,0.01
757,0.22
758,0.03
759,0.0
760,0.01
761,0.0
762,0.22
763,0.18
764,0.0
765,0.08
766,0.06
767,0.0
768,0.012686025408348458
769,0.01
770,0.14
771,0.0
772,0.24
773,0.16
774,0.01
775,0.13
776,0.01
777,0.47
778,0.05
779,0.0
780,0.24
781,0.37
782,0.08
783,0.01
784,0.18
785,0.02
786,0.54
787,0.07
788,0.16
789,0.02
790,0.62
791,0.02
792,0.19
793,0.01
794,0.0
795,0.37
796,0.0
797,0.14
798,0.01
799,0.13
800,0.07
801,0.01
802,0.0
803,0.29
804,0.02
805,0.44
806,0.0
807,0.0
808,0.87
809,0.0
810,0.12
811,0.21
812,0.24
813,0.02
814,0.0
815,0.02
816,0.26
817,0.0
818,0.25
819,0.0
820,0.24
821,0.0
822,0.6
823,0.0
824,0.01
825,0.0
826,0.01
827,0.03
828,0.0
829,0.0
830,0.01
831,0.15
832,0.03
833,0.28
834,0.0
835,0.02
836,0.08
837,0.24
838,0.07
839,0.16
840,0.32
841,0.42
842,0.15
843,0.15
844,0.14
845,0.94
846,0.7
847,0.01
848,0.0
849,0.18
850,0.07
851,0.0
852,0.07
853,0.31
854,0.06
855,0.01
856,0.01
857,0.05
858,0.04
859,0.0
860,0.05
861,0.53
862,0.0
863,0.02
864,0.03
865,0.0
866,0.01
867,0.0
868,0.61
869,0.06
870,0.0
871,0.01
872,0.36
873,0.0
874,0.02
875,0.0
876,0.04
877,0.01
878,0.02
879,0.0
880,0.31
881,0.01
882,0.0
883,0.11
884,0.03
885,0.0
886,0.04
887,0.37
888,0.72
889,0.05
890,0.33
891,0.01
892,0.0
893,0.77
894,0.86
895,0.0
896,0.0
897,0.26
898,0.0
899,0.07
900,0.0
901,0.07
902,0.04
903,0.01
904,0.0
905,0.0
906,0.0
907,0.24
908,0.05
909,0.11
910,0.04
911,0.0
912,0.12
913,0.0
914,0.03
915,0.09
916,0.02
917,0.02
918,0.0
919,0.0
920,0.15
921,0.44
922,0.15
923,0.11
924,0.03
925,0.0
926,0.01
927,0.05
928,0.03
929,0.14
930,0.52
931,0.94
932,0.01
933,0.01
934,0.19
935,0.0
936,0.0
937,0.0
938,0.0
939,0.09
940,0.0
941,0.19
942,0.01
943,0.33
944,0.38
945,0.02
946,0.0
947,0.27
948,0.06
949,0.06
950,0.0
951,0.0
952,0.16
953,0.02825
954,0.0
955,0.3
956,0.29
957,0.0
958,0.01
959,0.1
960,0.0
961,0.05
962,0.01
963,0.0
964,0.01
965,0.0
966,0.05
967,0.01
968,0.28
969,0.44
970,0.48
971,0.0
972,0.31
973,0.09
974,0.34
975,0.0
976,0.01
977,0.15
978,0.01
979,0.12
980,0.91
981,0.0
982,0.03
983,0.07
984,0.0
985,0.05
986,0.69
987,0.03
988,0.04
989,0.06
990,0.06
991,0.13
992,0.0
993,0.0
994,0.28
995,0.08
996,0.47
997,0.0
998,0.11
999,0.02
1000,0.12
1001,0.0
1002,0.29
1003,0.0
1004,0.11
1005,0.25
1006,0.01
1007,0.12
1008,0.0
1009,0.0
1010,0.0
1011,0.07
1012,0.0
1013,0.1
1014,0.05
1015,0.05
1016,0.14
1017,0.0
1018,0.36
1019,0.03
1020,0.0
1021,0.04
1022,0.02
1023,0.02
1024,0.55
1025,0.02
1026,0.0
1027,0.05
1028,0.01
1029,0.02
1030,0.01
1031,0.09
1032,0.19
1033,0.01
1034,0.0
1035,0.0
1036,0.0
1037,0.0
1038,0.0
1039,0.02
1040,0.0
1041,0.19
1042,0.49
1043,0.0
1044,0.15
1045,0.1
1046,0.0
1047,0.0
1048,0.14
1049,0.0
1050,0.0
1051,0.0
1052,0.02
1053,0.29
1054,0.0
1055,0.08
1056,0.0
1057,0.0
1058,0.7
1059,0.34
1060,0.26
1061,0.15
1062,0.08
1063,0.04
1064,0.0
1065,0.53
1066,0.0
1067,0.02
1068,0.0
1069,0.07
1070,0.0
1071,0.0
1072,0.06
1073,0.75
1074,0.03
1075,0.02
1076,0.05
1077,0.04
1078,0.0
1079,0.18
1080,0.14
1081,0.0
1082,0.85
1083,0.03
1084,0.01
1085,0.0
1086,0.04
1087,0.11
1088,0.04
1089,0.78
1090,0.0
1091,0.0
1092,0.01
1093,0.36
1094,0.05
1095,0.31
1096,0.07
1097,0.05
1098,0.59
1099,0.26
1100,0.05
1101,0.01
1102,0.0
1103,0.04
1104,0.0
1105,0.19
1106,0.01
1107,0.0
1108,0.24
1109,0.29
1110,0.01
1111,0.0
1112,0.01
1113,0.0
1114,0.01
1115,0.02
1116,0.05
1117,0.01
1118,0.65
1119,0.0
1120,0.08
1121,0.0
1122,0.0
1123,0.0
1124,0.17
1125,0.01
1126,0.19
1127,0.01
1128,0.43
1129,0.0
1130,0.0
1131,0.0
1132,0.9469909765144005
1133,0.04
1134,0.13
1135,0.32
1136,0.08
1137,0.24
1138,0.0
1139,0.01
1140,0.01
1141,0.0
1142,0.0
1143,0.03
1144,0.3
1145,0.04
1146,0.08
1147,0.13
1148,0.07
1149,0.06
1150,0.11
1151,0.0
1152,0.2
1153,0.0
1154,0.03
1155,0.18
1156,0.0
1157,0.45
1158,0.87
1159,0.02
1160,0.0
1161,0.37
1162,0.05
1163,0.0
1164,0.03
1165,0.02
1166,0.07
1167,0.924415848040848
1168,0.0
1169,0.0
1170,0.05
1171,0.79
1172,0.08
1173,0.16
1174,0.03
1175,0.11
1176,0.78
1177,0.11
1178,0.46
1179,0.01
1180,0.5947197539302802
1181,0.63
1182,0.02
1183,0.29
1184,0.14
1185,0.01
1186,0.09
1187,0.04
1188,0.78
1189,0.04
1190,0.0
1191,0.69
1192,0.0
1193,0.81
1194,0.0
1195,0.44
1196,0.0
1197,0.01
1198,0.0
1199,0.52
1200,0.03
1201,0.0
1202,0.0
1203,0.0
1204,0.0
1205,0.03
1206,0.02
1207,0.93
1208,0.0
1209,0.4
1210,0.03
1211,0.09
1212,0.07
1213,0.0
1214,0.0
1215,0.93
1216,0.0
1217,0.82
1218,0.0
1219,0.14
1220,0.07
1221,0.15
1222,0.14
1223,0.1
1224,0.0
1225,0.12
1226,0.0
1227,0.0
1228,0.41
1229,0.39
1230,0.89
1231,0.0
1232,0.12
1233,0.0
1234,0.8
1235,0.95
1236,0.0
1237,0.12
1238,0.78
1239,0.02
1240,0.0
1241,0.0
1242,0.01
1243,0.0
1244,0.08
1245,0.05
1246,0.5
1247,0.06
1248,0.01
1249,0.23
1250,0.07
1251,0.57
1252,0.22
1253,0.0
1254,0.31
1255,0.03
1256,0.36
1257,0.1
1258,0.15
1259,0.08
1260,0.45
1261,0.06
1262,0.32
1263,0.53
1264,0.06
1265,0.0
1266,0.01
1267,0.04
1268,0.13
1269,0.0
1270,0.02
1271,0.0
1272,0.77
1273,0.05
1274,0.28
1275,0.24
1276,0.84
1277,0.06
1278,0.31
1279,0.07
1280,0.0
1281,0.42
1282,0.07
1283,0.17
1284,0.17
1285,0.01
1286,0.21
1287,0.0
1288,0.24
1289,0.05
1290,0.01
1291,0.04
1292,0.39
1293,0.0
1294,0.89
1295,0.0
1296,0.01
1297,0.01
1298,0.03
1299,0.02
1300,0.52
1301,0.08
1302,0.01
1303,0.49
1304,0.3
1305,0.0
1306,0.0
1307,0.18
1308,0.0
1309,0.06
1310,0.02
1311,0.0
1312,0.01
1313,0.23
1314,0.0
1315,0.06
1316,0.04
1317,0.75
1318,0.0
1319,0.19
1320,0.0
1321,0.02
1322,0.02
1323,0.22
1324,0.12
1325,0.05
1326,0.04
1327,0.0
1328,0.07
1329,0.21
1330,0.13
1331,0.12
1332,0.0
1333,0.1
1334,0.02
1335,0.05
1336,0.04
1337,0.0
1338,0.05
1339,0.21
1340,0.02
1341,0.01
1342,0.0
1343,0.03
1344,0.0
1345,0.0
1346,0.0
1347,0.05
1348,0.32
1349,0.46
1350,0.11
1351,0.27
1352,0.14
1353,0.0
1354,0.17
1355,0.03
1356,0.02
1357,0.01
1358,0.12
1359,0.02
1360,0.0
1361,0.13
1362,0.01
1363,0.0
1364,0.04
1365,0.13
1366,0.0
1367,0.14
1368,0.12
1369,0.41
1370,0.0
1371,0.14
1372,0.0
1373,0.0
1374,0.18
1375,0.31
1376,0.0
1377,0.42
1378,0.06
1379,0.07
1380,0.0
1381,0.48
1382,0.1
1383,0.02
1384,0.04
1385,0.02
1386,0.0
1387,0.16
1388,0.04
1389,0.06
1390,0.0
1391,0.0
1392,0.08
1393,0.03
1394,0.18
1395,0.05
1396,0.05
1397,0.14
1398,0.04
1399,0.08
1400,0.12
1401,0.07
1402,0.0
1403,0.0
1404,0.09
1405,0.0
1406,0.0
1407,0.09
1408,0.03
1409,0.01
1410,0.01
1411,0.0
1412,0.0
1413,0.0
1414,0.01
1415,0.02
1416,0.04
1417,0.01
1418,0.0
1419,0.87
1420,0.15
1421,0.05
1422,0.21
1423,0.0
1424,0.03
1425,0.0
1426,0.0
1427,0.04
1428,0.06
1429,0.01
1430,0.02
1431,0.33
1432,0.0
1433,0.06
1434,0.01
1435,0.04
1436,0.83
1437,0.07
1438,0.01
1439,0.0
1440,0.8
1441,0.0
1442,0.0
1443,0.0
1444,0.34
1445,0.0
1446,0.68
1447,0.58
1448,0.03
1449,0.0
1450,0.0
1451,0.15
1452,0.01
1453,0.0
1454,0.01
1455,0.15
1456,0.65
1457,0.18
1458,0.0
1459,0.0
1460,0.01
1461,0.08
1462,0.05
1463,0.04
1464,0.0
1465,0.1
1466,0.11
1467,0.1
1468,0.0
1469,0.4
1470,0.0
1471,0.23
1472,0.0
1473,0.01
1474,0.02
1475,0.73
1476,0.15
1477,0.01
1478,0.0
1479,0.17
1480,0.02
1481,0.0
1482,0.02
1483,0.0
1484,0.02
1485,0.69
1486,0.74
1487,0.27
1488,0.05
1489,0.1
1490,0.18
1491,0.27
1492,0.03
1493,0.03
1494,0.21
1495,0.29
1496,0.0
1497,0.0
1498,0.01
1499,0.29
1500,0.01
1501,0.43
1502,0.03
1503,0.36
1504,0.09
1505,0.0
1506,0.41
1507,0.01
1508,0.04
1509,0.59
1510,0.0
1511,0.0
1512,0.03
1513,0.01
1514,0.15
1515,0.08
1516,0.0
1517,0.39
1518,0.54
1519,0.02
1520,0.07
1521,0.07
1522,0.06
1523,0.02
1524,0.0
1525,0.14
1526,0.63
1527,0.14
1528,0.03
1529,0.01
1530,0.02
1531,0.09
1532,0.03
1533,0.21
1534,0.03
1535,0.0
1536,0.02
1537,0.2
1538,0.0
1539,0.0
1540,0.03
1541,0.53
1542,0.03
1543,0.25
1544,0.01
1545,0.01
1546,0.0
1547,0.17
1548,0.0
1549,0.3
1550,0.01
1551,0.05
1552,0.0
1553,0.12
1554,0.05
1555,0.89
1556,0.04
1557,0.0
1558,0.75
1559,0.05
1560,0.4
1561,0.02
1562,0.01
1563,0.36
1564,0.0
1565,0.01
1566,0.02
1567,0.0
1568,0.0
1569,0.02
1570,0.53
1571,0.0
1572,0.09
1573,0.06
1574,0.0
1575,0.08
1576,0.14
1577,0.0
1578,0.0
1579,0.0
1580,0.01
1581,0.0
1582,0.0
1583,0.0
1584,0.04
1585,0.01
1586,0.06
1587,0.21
1588,0.02
1589,0.0
1590,0.0
1591,0.0
1592,0.0
1593,0.0
1594,0.1
1595,0.41
1596,0.07
1597,0.02
1598,0.0
1599,0.04
1600,0.0
1601,0.0
1602,0.0
1603,0.24
1604,0.0
1605,0.04
1606,0.02
1607,0.02
1608,0.0
1609,0.0
1610,0.0
1611,0.04
1612,0.6
1613,0.01
1614,0.43
1615,0.01
1616,0.85
1617,0.8
1618,0.05
1619,0.01
1620,0.73
1621,0.77
1622,0.34
1623,0.85
1624,0.05
1625,0.0
1626,0.0
1627,0.02
1628,0.02
1629,0.02
1630,0.02
1631,0.0
1632,0.15
1633,0.1
1634,0.36
1635,0.01
1636,0.09
1637,0.0
1638,0.25
1639,0.01
1640,0.03
1641,0.0
1642,0.0
1643,0.03
1644,0.12
1645,0.0
1646,0.0
1647,0.75
1648,0.34
1649,0.09
1650,0.34
1651,0.48
1652,0.0
1653,0.02
1654,0.28
1655,0.02
1656,0.0
1657,0.01
1658,0.01
1659,0.2
1660,0.62
1661,0.05
1662,0.11
1663,0.0
1664,0.0
1665,0.07
1666,0.24
1667,0.03
1668,0.33
1669,0.0
1670,0.0
1671,0.0
1672,0.01
1673,0.0
1674,0.77
1675,0.03
1676,0.4
1677,0.0
1678,0.03
1679,0.09
1680,0.0
1681,0.15
1682,0.02
1683,0.01
1684,0.16
1685,0.0
1686,0.0
1687,0.01
1688,0.15
1689,0.22
1690,0.16
1691,0.17
1692,0.0
1693,0.06
1694,0.19
1695,0.1
1696,0.02
1697,0.01
1698,0.04
1699,0.72
1700,0.01
1701,0.12
1702,0.03
1703,0.0
1704,0.11
1705,0.0
1706,0.01
1707,0.02
1708,0.07
1709,0.0
1710,0.09
1711,0.13
1712,0.12
1713,0.22
1714,0.02
1715,0.0
1716,0.0
1717,0.18
1718,0.4
1719,0.01
1720,0.01
1721,0.05
1722,0.01
1723,0.12
1724,0.01
1725,0.03
1726,0.07
1727,0.02
1728,0.71
1729,0.0
1730,0.0
1731,0.0
1732,0.01
1733,0.06
1734,0.06
1735,0.49
1736,0.29
1737,0.05
1738,0.39
1739,0.03
1740,0.14
1741,0.0
1742,0.0
1743,0.06
1744,0.13
1745,0.0
1746,0.47
1747,0.01
1748,0.09
1749,0.0
1750,0.02
1751,0.0
1752,0.03
1753,0.06
1754,0.0
1755,0.22
1756,0.8
1757,0.0
1758,0.01
1759,0.06
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.21
1767,0.27
1768,0.12
1769,0.0
1770,0.0
1771,0.85
1772,0.0
1773,0.4
1774,0.0
1775,0.07
1776,0.02
1777,0.07
1778,0.01
1779,0.12
1780,0.0
1781,0.03
1782,0.24
1783,0.05
1784,0.0
1785,0.0
1786,0.01
1787,0.0
1788,0.46
1789,0.0
1790,0.0
1791,0.0
1792,0.02
1793,0.0
1794,0.31
1795,0.23
1796,0.0
1797,0.0
1798,0.06
1799,0.19
1800,0.03
1801,0.04
1802,0.0
1803,0.0
1804,0.12
1805,0.03
1806,0.12
1807,0.03
1808,0.0
1809,0.0
1810,0.65
1811,0.08
1812,0.04
1813,0.02
1814,0.05
1815,0.59
1816,0.14
1817,0.2
1818,0.0
1819,0.05
1820,0.0
1821,0.01
1822,0.0
1823,0.03
1824,0.01
1825,0.46
1826,0.22
1827,0.0
1828,0.02
1829,0.06
1830,0.21
1831,0.69
1832,0.06
1833,0.03
1834,0.73
1835,0.78
1836,0.1
1837,0.08
1838,0.04
1839,0.26
1840,0.01
1841,0.07
1842,0.0
1843,0.1
1844,0.11
1845,0.05
1846,0.17
1847,0.68
1848,0.04
1849,0.08
1850,0.01
1851,0.0
1852,0.03
1853,0.17
1854,0.0
1855,0.07
1856,0.02
1857,0.0
1858,0.0
1859,0.05
1860,0.33
1861,0.26
1862,0.07
1863,0.32
1864,0.05
1865,0.0
1866,0.14
1867,0.08
1868,0.06
1869,0.0
1870,0.11
1871,0.03
1872,0.03
1873,0.0
1874,0.01
1875,0.17
1876,0.33
1877,0.0
1878,0.0
1879,0.0
1880,0.32
1881,0.0
1882,0.0
1883,0.0
1884,0.46
1885,0.08
1886,0.01
1887,0.68
1888,0.02
1889,0.14
1890,0.08
1891,0.09
1892,0.0
1893,0.0
1894,0.06
1895,0.2
1896,0.0
1897,0.14
1898,0.08
1899,0.0
1900,0.03
1901,0.05
1902,0.08
1903,0.03
1904,0.31
1905,0.01
1906,0.03
1907,0.09
1908,0.08
1909,0.07
1910,0.13
1911,0.11
1912,0.08
1913,0.04
1914,0.03
1915,0.06
1916,0.03
1917,0.08
1918,0.23
1919,0.01
1920,0.51
1921,0.35
1922,0.32
1923,0.68
1924,0.25
1925,0.76
1926,0.02
1927,0.04
1928,0.17
1929,0.14
1930,0.6822158091192143
1931,0.03
1932,0.36
1933,0.07
1934,0.35
1935,0.06
1936,0.0
1937,0.08
1938,0.0
1939,0.02
1940,0.18
1941,0.01
1942,0.06
1943,0.06
1944,0.05
1945,0.0
1946,0.06
1947,0.0
1948,0.04
1949,0.0
1950,0.12
1951,0.08
1952,0.02
1953,0.05
1954,0.0
1955,0.01
1956,0.22
1957,0.01
1958,0.08
1959,0.3
1960,0.03
1961,0.01
1962,0.0
1963,0.08
1964,0.22
1965,0.04
1966,0.01
1967,0.24
1968,0.21
1969,0.0
1970,0.0
1971,0.0
1972,0.0
1973,0.22
1974,0.0
1975,0.01
1976,0.29
1977,0.04
1978,0.01
1979,0.16
1980,0.06
1981,0.0
1982,0.58
1983,0.01
1984,0.12
1985,0.1
1986,0.09
1987,0.04
1988,0.01
1989,0.15
1990,0.09
1991,0.78
1992,0.0
1993,0.25
1994,0.13
1995,0.28
1996,0.0
1997,0.02
1998,0.05
1999,0.06
2000,0.0
2001,0.02
2002,0.04
2003,0.02
2004,0.24
2005,0.3
2006,0.0
2007,0.33
2008,0.0
2009,0.35
2010,0.01
2011,0.01
2012,0.07
2013,0.04
2014,0.0
2015,0.11
2016,0.0
2017,0.0
2018,0.04
2019,0.01
2020,0.04
2021,0.1
2022,0.09
2023,0.0
2024,0.0
2025,0.01
2026,0.02
2027,0.0
2028,0.0
2029,0.0
2030,0.02
2031,0.04
2032,0.03
2033,0.09
2034,0.76
2035,0.4
2036,0.04
2037,0.24
2038,0.0
2039,0.07
2040,0.0
2041,0.07
2042,0.02
2043,0.08
2044,0.01
2045,0.02
2046,0.25
2047,0.0
2048,0.0
2049,0.0
2050,0.02
2051,0.03
2052,0.37
2053,0.1
2054,0.01
2055,0.0
2056,0.07
2057,0.32
2058,0.41
2059,0.02
2060,0.0
2061,0.0
2062,0.04
2063,0.03
2064,0.06
2065,0.21
2066,0.06
2067,0.09
2068,0.96
2069,0.0
2070,0.41
2071,0.0
2072,0.64
2073,0.0
2074,0.28
2075,0.03
2076,0.0
2077,0.28
2078,0.64
2079,0.0
2080,0.08
2081,0.0
2082,0.0
2083,0.13
2084,0.0
2085,0.46
2086,0.0
2087,0.04
2088,0.08
2089,0.01
2090,0.0
2091,0.0
2092,0.07
2093,0.01
2094,0.09
2095,0.0
2096,0.06
2097,0.36
2098,0.1
2099,0.32
2100,0.0
2101,0.07
2102,0.54
2103,0.03
2104,0.57
2105,0.0
2106,0.03
2107,0.0
2108,0.14
2109,0.02
2110,0.07
2111,0.06
2112,0.46
2113,0.31
2114,0.04
2115,0.25
2116,0.0
2117,0.0
2118,0.01
2119,0.0
2120,0.62
2121,0.17
2122,0.13
2123,0.01
2124,0.08
2125,0.22
2126,0.29
2127,0.12
2128,0.0
2129,0.0
2130,0.0
2131,0.07
2132,0.14
2133,0.14
